node,lon,lat,r,theta,degree,x_poincare,y_poincare
湖北省,113.112151322799,30.6453323293338,4.761467066719141,5.127795013183842,20,0.3967166438743847,-0.8994339938578821
临夏回族自治州,102.894290909102,35.7139490343964,4.761467066719141,2.872836079483994,20,-0.9477496465126946,0.2610291408428544
西双版纳傣族自治州,100.916937911855,22.1065605632053,4.74858079933817,3.928866101979236,21,-0.6936548373029678,-0.6962613292857142
锡林郭勒盟,116.156750695693,44.0402890322864,4.9009802940980345,1.2026947800736387,9,0.3545303597569871,0.9192327935274797
漳州市,117.68192164619,24.1288919460549,4.670516619197075,5.272966150578133,27,0.5218067037522984,-0.831228185391581
安阳市,113.849005159246,36.0101057249801,4.774318553161155,0.9820599025937078,19,0.5460112411420586,0.8177161017073978
晋城市,112.842093892438,35.5156587385499,4.838063945949664,1.2128862483357103,14,0.3448104484026101,0.921906965612142
鄂尔多斯市,109.746177295464,39.8270132486798,4.774318553161155,1.8964782179446757,19,-0.3145968551118362,0.9315668076948518
哈尔滨市,126.565210111753,45.6494430648193,4.08248290463863,0.7061149325919054,69,0.7356486589438304,0.6273580866677925
迪庆藏族自治州,99.1463547757345,27.4447409671587,4.963099126672414,3.5638938792877912,4,-0.8994826513192778,-0.40416952547757445
果洛藏族自治州,99.3958934302068,33.4816473164841,4.938345360741873,3.120127828322307,6,-0.9855420098592285,0.021157736531383982
长春市,125.406899085831,43.7221467041233,4.414215005824598,0.6641792325286602,46,0.7685889329358491,0.6016693169475591
朔州市,112.77427840083,39.5077810049452,4.92592183071889,1.4453543509255322,7,0.12331067608671101,0.9778481475087099
黔南布依族苗族自治州,107.410899089926,27.1685205518507,4.564354645876384,4.0649631021934685,35,-0.590699488719333,-0.781192923348808
赤峰市,118.890700683513,41.5623206354643,4.74858079933817,0.8795038899396763,21,0.6265811703599464,0.757187499185556
大同市,112.765442732073,39.9925336240712,4.875911176787532,1.4555232375647584,11,0.11327650719217834,0.978323109451386
红河哈尼族彝族自治州,103.392172055473,23.7256630401827,4.799918299958294,3.9766184315212363,17,-0.6602009262297104,-0.7292107788547197
阜阳市,116.253434742856,32.6588118127043,4.469394835554186,6.154563178951299,42,0.9692775996068517,-0.1253626299400819
喀什地区,76.3527097213316,39.1883275292531,4.7871355387816905,2.975381451653602,18,-0.9699117942031457,0.16271133529489548
泸州市,105.403038505753,28.8564412879431,4.735659467089594,3.7264529310789203,22,-0.8192808004428651,-0.5424763156975333
郑州市,113.737068053325,34.8111157094708,3.929526239966879,0.7386124062613089,79,0.7109006846793232,0.6473093926146987
运城市,110.613539334921,35.1441665465497,4.735659467089594,2.1863233370652857,22,-0.5673419776591203,0.8022622161443912
承德市,117.97129738824,40.9235526195273,4.863328159225298,0.9103405984593245,12,0.6040715752557678,0.7776056206141218
海西蒙古族藏族自治州,96.99642389661,37.7177319306018,4.577759534198053,2.849457083201999,34,-0.938146413057979,0.2821381677866524
上饶市,118.047877781638,28.4936197283857,4.630991085218428,5.622282956432137,30,0.7742008462237395,-0.6019812601209903
景德镇市,117.225486708116,29.2985863521415,4.799918299958294,5.642251513221072,17,0.7884514725436561,-0.5881818583025277
内江市,104.793911923691,29.8103249636648,4.82538223620577,3.583635581089995,15,-0.889490531375608,-0.420976872259376
孝感市,113.621178305665,31.3020968164769,4.696682183138622,5.422303399857952,25,0.6399809994590036,-0.7447009431677566
南宁市,108.650072426724,22.8214983210423,4.37237316097603,4.402212767689293,49,-0.2976177954536352,-0.9285414791840326
益阳市,111.3779736893,28.2850132590281,4.7871355387816905,4.590731649248352,18,-0.11935083771548907,-0.9761963146337033
荆州市,111.685444632669,30.100841239089,4.617740725913995,4.617885510900811,31,-0.09251740745025937,-0.9760681000922415
周口市,115.372630442516,33.8893144942116,4.441890606134143,0.19721480937424918,44,0.9577939306792143,0.19137874606547944
荆门市,112.091021420334,31.1754256350378,4.838063945949664,4.766720926326073,14,0.05345152930514017,-0.9828273666248504
沧州市,116.151534929439,38.7367107514223,4.683617673316634,0.9241375581337747,26,0.5914839328569097,0.7834789083528184
武汉市,114.337221044213,30.5570600805218,3.960590171906697,5.438493097350441,77,0.6391350475496476,-0.7198067704180611
曲靖市,103.904555046403,25.3598985822784,4.774318553161155,3.9129185054110343,19,-0.7049802080234979,-0.6854128717351172
黄冈市,115.002078659828,30.7189860961983,4.696682183138622,5.593479441200429,25,0.7574810957585464,-0.6248020198366223
邢台市,114.759205348527,37.1669139320706,4.761467066719141,0.9583561623460284,20,0.5651155085424855,0.8043693597091228
延安市,109.034082121069,36.0169351644823,4.863328159225298,2.3806618706164517,12,-0.7130918093666581,0.6790235935936572
海南省,109.98512706934,19.6884305849644,4.774318553161155,4.56590785877866,19,-0.14351359977652794,-0.9727238791785762
汕头市,116.401538133287,23.1763371503654,4.550910273091032,5.127378648530184,36,0.39475618760469433,-0.8959994251902295
防城港市,108.057817790066,21.769038774376,4.863328159225298,4.382142646945709,12,-0.3193045725637555,-0.9314599074477311
安顺市,106.180176647336,25.6986964024442,4.8126671093981095,4.0549358227594325,16,-0.6012511007021097,-0.7787903373166843
巴中市,106.859085707449,31.8248461502955,4.799918299958294,3.406016477556475,17,-0.9494842362111622,-0.2570861882306798
